Company,Country,Director,Genre,Title,Runtime,Writer,Year
Bootmen Productions (Hilary Linstead-Dein Perry),USA,Dein Perry,Comedy,Bootmen,100,Steve Worland,2000
Castle Rock Entertainment,USA,Christopher Guest,Comedy,BestinShow,90,Christopher Guest,2000
Zentropa Entertainments,Denmark,Lars von Trier,Crime,Bailandoenlaoscuridad,140,Lars von Trier,2000
Walt Disney Pictures,USA,Eric Leighton,Animation,Dinosaur,82,Thom Enriquez,2000
Recorded Picture Company (RPC),UK,Jonathan Glazer,Crime,SexyBeast,89,Louis Mellis,2000
Twentieth Century Fox Film Corporation,USA,Harold Ramis,Comedy,Bedazzled,93,Peter Cook,2000
Universal Pictures,USA,Jay Roach,Comedy,MeettheParents,108,Greg Glienna,2000
Dimension Films,USA,Wes Craven,Horror,Scream3,116,Kevin Williamson,2000
New Line Cinema,USA,Gregory Hoblit,Crime,Frequency,118,Toby Emmerich,2000
Aardman Animations,UK,Peter Lord,Animation,ChickenRun,84,Peter Lord,2000
Fox 2000 Pictures,USA,George Tillman Jr.,Biography,MenofHonor,129,Scott Marshall Smith,2000
Warner Bros.,USA,Wolfgang Petersen,Action,ThePerfectStorm,130,Sebastian Junger,2000
Paramount Pictures,Germany,John Singleton,Action,Shaft,99,Ernest Tidyman,2000
Franchise Pictures,USA,Jonathan Lynn,Comedy,TheWholeNineYards,98,Mitchell Kapner,2000
New Line Cinema,USA,Roger Donaldson,Drama,ThirteenDays,145,David Self,2000
Warner Bros.,USA,Mimi Leder,Drama,PayItForward,123,Catherine Ryan Hyde,2000
Fox Searchlight Pictures,UK,Philip Kaufman,Biography,Quills,124,Doug Wright,2000
Twentieth Century Fox Film Corporation,USA,Danny Leiner,Comedy,DudeWheresMyCar,,83,Philip Stark,2000
Twentieth Century Fox Film Corporation,USA,Matt Williams,Comedy,WheretheHeartIs,120,Lowell Ganz,2000
New Line Cinema,USA,Ben Younger,Crime,BoilerRoom,120,Ben Younger,2000
Universal Pictures,USA,Brian Levant,Comedy,TheFlintstonesinVivaRockVegas,90,William Hanna,2000
Universal Pictures,USA,Peter Segal,Comedy,NuttyProfessorIITheKlumps,106,Jerry Lewis,2000
Columbia Pictures Corporation,USA,Nicholas Hytner,Drama,CenterStage,115,Carol Heikkinen,2000
New Line Cinema,USA,Steve Carr,Comedy,NextFriday,98,Ice Cube,2000
Lakeshore Entertainment,USA,Sam Raimi,Drama,TheGift,112,Billy Bob Thornton,2000
Universal Pictures,USA,Brett Ratner,Comedy,TheFamilyMan,125,David Diamond,2000
Copperheart Entertainment,Canada,John Fawcett,Drama,Feroz,108,Karen Walton,2000
Twentieth Century Fox Film Corporation,USA,Robert Redford,Drama,TheLegendofBaggerVance,126,Steven Pressfield,2000
Universal Pictures,France,Jonathan Mostow,Action,U571LabatalladelAtlntico,116,Jonathan Mostow,2000
Spyglass Entertainment,USA,Edward Norton,Comedy,KeepingtheFaith,128,Stuart Blumberg,2000
Touchstone Pictures,USA,Tom Dey,Action,ShanghaiNoon,110,Miles Millar,2000
Columbia Pictures Corporation,USA,Billy Bob Thornton,Drama,AllthePrettyHorses,116,Cormac McCarthy,2000
Twentieth Century Fox Film Corporation,USA,Raja Gosnell,Action,BigMommasHouse,99,Darryl Quarles,2000
Max Films Productions,Canada,Denis Villeneuve,Drama,Maelstrom,87,Denis Villeneuve,2000
Clipsal Films,USA,Clint Eastwood,Action,SpaceCowboys,130,Ken Kaufman,2000
Phoenix Pictures,USA,Roger Spottiswoode,Action,The6thDay,123,Cormac Wibberley,2000
Columbia Pictures Corporation,USA,Betty Thomas,Comedy,28Days,103,Susannah Grant,2000
Canal+,France,Virginie Despentes,Crime,RapeMe,77,Virginie Despentes,2000
Columbia Pictures Corporation,USA,Martin Campbell,Action,VerticalLimit,124,Robert King,2000
George Litto Productions,USA,Michael Dinner,Crime,TheCrew,88,Barry Fanaro,2000
40 Acres & A Mule Filmworks,USA,Gina Prince-Bythewood,Drama,LoveBasketball,124,Gina Prince-Bythewood,2000
Warner Bros.,USA,Andrzej Bartkowiak,Action,RomeoMustDie,115,Mitchell Kapner,2000
Australian Film Finance Corporation (AFFC),Australia,Andrew Dominik,Biography,Chopper,94,Mark Brandon Read,2000
Hart-Sharp Entertainment,USA,Kenneth Lonergan,Drama,YouCanCountonMe,111,Kenneth Lonergan,2000
Dimension Films,USA,Patrick Lussier,Action,Dracula2000,99,Joel Soisson,2000
Metro-Goldwyn-Mayer (MGM),USA,Joan Chen,Drama,AutumninNewYork,103,Allison Burnett,2000
Columbia Pictures Corporation,USA,Gus Van Sant,Drama,FindingForrester,136,Mike Rich,2000
David Kirschner Productions,USA,Don Bluth,Animation,TitanAE,94,Hans Bauer,2000
Saturn Films,UK,E. Elias Merhige,Drama,ShadowoftheVampire,92,Steven Katz,2000
Columbia Pictures Corporation,USA,David Raynr,Comedy,WhateverItTakes,94,Mark Schwahn,2000
New Line Cinema,USA,Courtney Solomon,Action,DungeonsDragons,107,Topper Lilien,2000
Capella International,USA,Des McAnuff,Animation,TheAdventuresofRockyBullwinkle,92,Jay Ward,2000
El Mar Pictures,USA,Julian Schnabel,Biography,Antesqueanochezca,133,Cunningham O'Keefe,2000
Paramount Pictures,UK,William Friedkin,Drama,RulesofEngagement,128,Jim Webb,2000
Dimension Films,USA,John Frankenheimer,Action,ReindeerGames,104,Ehren Kruger,2000
Warner Bros.,USA,Antony Hoffman,Action,RedPlanet,106,Chuck Pfarrer,2000
Cruella Productions,USA,Kevin Lima,Adventure,102Dalmatians,100,Dodie Smith,2000
Avrora Media,Germany,Uli Edel,Adventure,TheLittleVampire,95,Angela Sommer-Bodenburg,2000
Haft Entertainment,USA,Joel Schumacher,Drama,Tigerland,101,Ross Klavan,2000
Branti Film Productions,USA,Amy Heckerling,Comedy,Loser,98,Amy Heckerling,2000
Hammerhead Productions,USA,Walter Hill,Horror,Supernova,90,William Malone,2000
Revelations Entertainment,France,Stephen Hopkins,Crime,Bajosospecha,110,John Wainwright,2000
British Broadcasting Corporation (BBC),USA,Curtis Hanson,Comedy,WonderBoys,107,Michael Chabon,2000
Chester Films Inc.,USA,Jon Turteltaub,Comedy,TheKid,104,Audrey Wells,2000
Morgan Creek Productions,USA,Stephen Kay,Action,GetCarter,102,Ted Lewis,2000
Metro-Goldwyn-Mayer (MGM),USA,Bonnie Hunt,Comedy,ReturntoMe,115,Bonnie Hunt,2000
FX Sound,Argentina,Fabi�n Bielinsky,Crime,NineQueens,114,Fabi�n Bielinsky,2000
Artisan Entertainment,USA,Joe Berlinger,Adventure,BookofShadowsBlairWitch2,90,Daniel Myrick,2000
Miramax,USA,James Gray,Crime,TheYards,115,James Gray,2000
Castle Rock Entertainment,USA,Taylor Hackford,Action,ProofofLife,135,Tony Gilroy,2000
Bel Air Entertainment,USA,Brian Robbins,Comedy,ReadytoRumble,107,Steven Brill,2000
Universal Pictures,USA,Rob Cohen,Action,TheSkulls,106,John Pogue,2000
Brant-Allen,USA,Ed Harris,Biography,Pollock,122,Steven Naifeh,2000
Portman Entertainment Group,UK,Nigel Cole,Comedy,SavingGrace,93,Mark Crowdy,2000
Destination Films,USA,Sally Field,Drama,Beautiful,112,Jon Bernstein,2000
Gaumont,France,Mathieu Kassovitz,Crime,TheCrimsonRivers,106,Jean-Christophe Grang�,2000
Artisan Entertainment,USA,Christopher McQuarrie,Action,TheWayoftheGun,119,Christopher McQuarrie,2000
Alcon Entertainment,USA,Jay Russell,Comedy,MyDogSkip,95,Willie Morris,2000
Artisan Entertainment,USA,Robert Altman,Comedy,DrTtheWomen,122,Anne Rapp,2000
Gullane Pictures,UK,Britt Allcroft,Adventure,ThomasandtheMagicRailroad,85,Britt Allcroft,2000
Columbia Pictures Corporation,Germany,Diane Keaton,Comedy,HangingUp,94,Delia Ephron,2000
Punch 21 Productions,USA,Robert Iscove,Comedy,BoysandGirls,94,Andrew Lowery,2000
Davis-Panzer Productions,USA,Douglas Aarniokoski,Action,HighlanderEndgame,87,Gregory Widen,2000
1+2 Seisaku Iinkai,Taiwan,Edward Yang,Drama,YiYi,173,Edward Yang,2000
Open City Films,USA,Kris Isacsson,Comedy,DowntoYou,91,Kris Isacsson,2000
StudioCanal,USA,Kathryn Bigelow,Crime,TheWeightofWater,100,Anita Shreve,2000
Broadway Pictures,USA,Reginald Hudlin,Comedy,TheLadiesMan,84,Tim Meadows,2000
DreamWorks,USA,Woody Allen,Comedy,SmallTimeCrooks,94,Woody Allen,2000
Cinerenta Medienbeteiligungs KG,USA,Rod Lurie,Drama,TheContender,126,Rod Lurie,2000
Morgan Creek Productions,USA,Christian Duguay,Action,TheArtofWar,117,Wayne Beach,2000
New Line Cinema,USA,Spike Lee,Comedy,Bamboozled,135,Spike Lee,2000
Canal+,UK,Sally Potter,Drama,TheManWhoCried,100,Sally Potter,2000
MFF Feature Film Productions,USA,Chris Koch,Adventure,SnowDay,89,Will McRobb,2000
Working Dog,Australia,Rob Sitch,Comedy,TheDish,101,Santo Cilauro,2000
FilmFour,UK,Paul McGuigan,Crime,GangsterNo1,103,Johnny Ferguson,2000
Paramount Pictures,Germany,Stig Bergqvist,Animation,RugratsinParisTheMovie,78,J. David Stem,2000
Phoenix Pictures,USA,John Ottman,Horror,Leyendaurbana2,97,Silvio Horta,2000
Miramax,USA,Don Roos,Drama,Bounce,106,Don Roos,2000
NPV Entertainment,USA,Davis Guggenheim,Drama,Gossip,90,Gregory Poirier,2000
Paramount Pictures,USA,Chuck Russell,Crime,BlesstheChild,107,Cathy Cash Spellman,2000
double A Films,USA,Michael Almereyda,Drama,Hamlet,112,William Shakespeare,2000
13 Productions,Hungary,B�la Tarr,Drama,WerckmeisterHarmonies,145,L�szl� Krasznahorkai,2000
Arte France Cin�ma,France,Michael Haneke,Drama,CodeUnknown,118,Michael Haneke,2000
Hollywood Pictures,USA,Eric Blakeney,Comedy,GunShy,101,Eric Blakeney,2000
Avery Pix,USA,Janusz Kaminski,Drama,LostSouls,97,Pierce Gardner,2000
Artic Productions LLC,France,John Waters,Comedy,CecilBDeMented,87,John Waters,2000
Memfis Film,Sweden,Lukas Moodysson,Comedy,Together,106,Lukas Moodysson,2000
ErgoArts,USA,Maggie Greenwald,Drama,Songcatcher,109,Maggie Greenwald,2000
Fox Searchlight Pictures,USA,Fina Torres,Comedy,WomanonTop,92,Vera Blasi,2000
Moonstone Entertainment,USA,Michael Radford,Drama,DancingattheBlueIguana,123,Michael Radford,2000
Recorded Picture Company (RPC),USA,Takeshi Kitano,Crime,Brother,114,Takeshi Kitano,2000
Paramount Pictures,France,Nora Ephron,Comedy,LuckyNumbers,105,Adam Resnick,2000
Hollywood Pictures,USA,Bruce Paltrow,Comedy,Duets,112,John Byrum,2000
Animal Productions LLC,USA,Steve Buscemi,Crime,AnimalFactory,94,Edward Bunker,2000
New Oz Productions,Australia,Robert Lee King,Comedy,PsychoBeachParty,95,Charles Busch,2000
Free Country U.S.A.,USA,David Gordon Green,Drama,GeorgeWashington,89,David Gordon Green,2000
Filmtown Entertainment,France,David Mamet,Comedy,StateandMain,105,David Mamet,2000
Tartan Films,USA,Chuck Parello,Biography,EdGein,89,Stephen Johnston,2000
Coproduction Office,Sweden,Roy Andersson,Comedy,SongsfromtheSecondFloor,98,Roy Andersson,2000
Miramax,USA,Gary Winick,Comedy,Tadpole,78,Heather McGowan,2000
Morgan Creek Productions,USA,Mary Lambert,Drama,TheInCrowd,105,Mark Gibson,2000
Banner Entertainment,USA,Greg Berlanti,Comedy,TheBrokenHeartsClubARomanticComedy,94,Greg Berlanti,2000
Code Entertainment,USA,Nick Gomez,Crime,DrowningMona,96,Peter Steinfeld,2000
Path� Pictures International,UK,Kenneth Branagh,Romance,LovesLaboursLost,93,William Shakespeare,2000
Gramercy Pictures (I),Germany,Neil LaBute,Comedy,NurseBetty,110,John C. Richards,2000
Icon Entertainment International,Germany,Wim Wenders,Drama,TheMillionDollarHotel,122,Bono,2000
Raajkamal Films International,India,Kamal Haasan,Crime,HeyRam,186,Kamal Haasan,2000
Disney Television Animation,USA,Jun Falkenstein,Animation,TheTiggerMovie,77,A.A. Milne,2000
Polygram Filmed Entertainment,USA,Keith Gordon,Drama,WakingtheDead,105,Scott Spencer,2000
British Broadcasting Corporation (BBC),UK,Dominic Anciano,Comedy,LoveHonorandObey,,103,Dominic Anciano,2000
Film Kraft,India,Rakesh Roshan,Action,KahoNaaPyaarHai,172,Rakesh Roshan,2000
Evolution Entertainment,USA,John Luessenhop,Drama,Lockdown,105,Preston A. Whitmore II,2000
Three Rivers Production,UK,Terence Davies,Romance,TheHouseofMirth,135,Edith Wharton,2000
Chango Productions,USA,Bryan Johnson,Crime,Vulgar,87,Bryan Johnson,2000
Universal Pictures,USA,Scott Alexander,Comedy,Screwed,81,Scott Alexander,2000
4 Kids Entertainment,Japan,Kunihiko Yuyama,Animation,Pokmon3TheMovie,93,Norman J. Grossfeld,2000
Daly-Harris Productions,USA,Del Shores,Comedy,SordidLives,111,Del Shores,2000
Columbia Pictures Corporation,USA,Hugh Hudson,Adventure,IDreamedofAfrica,114,Kuki Gallmann,2000
Miramax,USA,Lisa Krueger,Comedy,Committed,98,Lisa Krueger,2000
Castle Rock Entertainment,Canada,Antoine Fuqua,Action,Bait,119,Andrew Scheinman,2000
Fox 2000 Pictures,USA,Mark Piznarski,Drama,HereonEarth,96,Michael Seitzman,2000
Arenafilm,Australia,Samantha Lang,Crime,TheMonkeysMask,93,Anne Kennedy,2000
Screen Gems,USA,Mike Figgis,Drama,Timecode,97,Mike Figgis,2000
Rosa Filmes,Portugal,Jo�o Pedro Rodrigues,Drama,OFantasma,87,Jo�o Pedro Rodrigues,2000
Artisan Entertainment,USA,Miguel Arteta,Comedy,ChuckBuck,96,Mike White,2000
Myung Film Company Ltd.,South Korea,Ki-duk Kim,Drama,TheIsle,90,Ki-duk Kim,2000
Asian Union Film & Entertainment,China,Wen Jiang,Comedy,DevilsontheDoorstep,139,Wen Jiang,2000
Lakeshore Entertainment,USA,John Schlesinger,Comedy,TheNextBestThing,108,Tom Ropelewski,2000
Alliance Atlantis Communications,UK,Michael Winterbottom,Drama,TheClaim,120,Thomas Hardy,2000
Behaviour Worldwide,USA,Valerie Breiman,Comedy,LoveSex,82,Valerie Breiman,2000
L�gende Films,France,Roland Joff�,Biography,Vatel,103,Jeanne Labrune,2000
Brillstein-Grey Entertainment,USA,Craig Mazin,Action,TheSpecials,82,James Gunn,2000
Athanor,Czech Republic,Jan Svankmajer,Animation,GreedyGuts,132,Karel Jarom�r Erben,2000
Independent Film Channel (IFC),USA,Brad Anderson,Comedy,HappyAccidents,110,Brad Anderson,2000
Brillstein-Grey Entertainment,USA,Mike Nichols,Comedy,WhatPlanetAreYouFrom,105,Garry Shandling,2000
BMG Funhouse,Japan,Yoshiaki Kawajiri,Animation,VampireHunterDBloodlust,103,Hideyuki Kikuchi,2000
Fid�lit� Productions,France,Fran�ois Ozon,Comedy,WaterDropsonBurningRocks,82,Rainer Werner Fassbinder,2000
Better Than,Australia,Jonathan Teplitzky,Drama,BetterThanSex,95,Jonathan Teplitzky,2000
Fid�lit� Productions,France,Fran�ois Ozon,Drama,UndertheSand,92,Fran�ois Ozon,2000
Arte France Cin�ma,France,S�bastien Lifshitz,Drama,ComeUndone,98,S�bastien Lifshitz,2000
Boneyard Entertainment,UK,Joel Hershman,Comedy,Greenfingers,91,Joel Hershman,2000
Istituto Luce,Italy,Silvio Soldini,Comedy,BreadandTulips,114,Silvio Soldini,2000
Artisan Entertainment,USA,Henry Bromell,Comedy,Panic,88,Henry Bromell,2000
British Broadcasting Corporation (BBC),Ireland,Gerard Stembridge,Comedy,AboutAdam,97,Gerard Stembridge,2000
Arts Council of England,UK,Bill Eagles,Comedy,BeautifulCreatures,86,Simon Donald,2000
ARP S�lection,France,G�rard Krawczyk,Action,Taxi2Altatensin,88,Luc Besson,2000
Keystone Family Pictures,Canada,Robert Vince,Comedy,MVPMostValuablePrimate,93,Anne Vince,2000
Danmarks Radio (DR),Denmark,Lone Scherfig,Comedy,Italianoparaprincipiantes,112,Maeve Binchy,2000
Solar Films,Finland,Aku Louhimies,Drama,Restless,111,Aleksi Bardy,2000
Pandora Cinema,UK,Ben Elton,Comedy,MaybeBaby,104,Ben Elton,2000
Culture Company, The,,India,Khalid Mohamed,Action,Fiza,170,Khalid Mohamed,2000
Gramercy Pictures (I),Germany,Marek Kanievska,Drama,Elasalto,89,E. Max Frye,2000
Saban Entertainment,USA,Mamoru Hosoda,Animation,DigimonTheMovie,100,Akiyoshi Hongo,2000
Fox 2000 Pictures,USA,Adam Collis,Comedy,SunsetStrip,90,Randall Jahnson,2000
Warner Bros.,UK,Chris Columbus,Adventure,HarryPotterandtheSorcerersStone,152,J.K. Rowling,2001
New Line Cinema,New Zealand,Peter Jackson,Adventure,TheLordoftheRingsTheFellowshipoftheRing,178,J.R.R. Tolkien,2001
United Artists,Germany,Victor Salva,Horror,Eldemonio,90,Victor Salva,2001
Les Films Alain Sarde,France,David Lynch,Drama,MulhollandDrive,147,David Lynch,2001
Pandora Cinema,USA,Richard Kelly,Drama,DonnieDarko,113,Richard Kelly,2001
Tokuma Shoten,Japan,Hayao Miyazaki,Animation,SpiritedAway,125,Hayao Miyazaki,2001
Paramount Pictures,USA,Simon West,Action,LaraCroftTombRaider,100,Sara B. Cooper,2001
Universal Pictures,USA,Ron Howard,Biography,ABeautifulMind,135,Akiva Goldsman,2001
Pixar Animation Studios,USA,Pete Docter,Animation,MonstersInc,,92,Pete Docter,2001
Claudie Ossard Productions,France,Jean-Pierre Jeunet,Comedy,Amlie,122,Guillaume Laurant,2001
Warner Bros.,USA,Antoine Fuqua,Crime,TrainingDay,122,David Ayer,2001
Metro-Goldwyn-Mayer (MGM),USA,Robert Luketic,Comedy,LegallyBlonde,96,Amanda Brown,2001
Revolution Studios,USA,Ridley Scott,Drama,BlackHawkDown,144,Mark Bowden,2001
Universal Pictures,USA,Rob Cohen,Action,TheFastandtheFurious,106,Ken Li,2001
DreamWorks Animation,USA,Andrew Adamson,Animation,Shrek,90,William Steig,2001
Metro-Goldwyn-Mayer (MGM),USA,Ridley Scott,Crime,Hannibal,131,Thomas Harris,2001
Apostle,USA,Ted Demme,Biography,Blow,124,Bruce Porter,2001
Eureka Pictures,USA,David Wain,Comedy,WetHotAmericanSummer,97,Michael Showalter,2001
Twentieth Century Fox Film Corporation,USA,Tim Burton,Action,PlanetoftheApes,119,Pierre Boulle,2001
Fox Searchlight Pictures,USA,Jay Chandrasekhar,Comedy,SuperTroopers,100,Jay Chandrasekhar,2001
Warner Bros.,USA,Steven Soderbergh,Crime,OceansEleven,116,George Clayton Johnson,2001
Touchstone Pictures,USA,Michael Bay,Action,PearlHarbor,183,Randall Wallace,2001
Touchstone Pictures,USA,Wes Anderson,Comedy,TheRoyalTenenbaums,110,Wes Anderson,2001
Twentieth Century Fox Film Corporation,Australia,Baz Luhrmann,Drama,Amorenrojo,127,Baz Luhrmann,2001
Warner Bros.,USA,Stephen Herek,Drama,RockStar,105,John Stockwell,2001
Warner Bros.,USA,Steven Spielberg,Adventure,AIArtificialIntelligence,146,Brian Aldiss,2001
Anhelo Producciones,Mexico,Alfonso Cuar�n,Adventure,YTuMamTambin,106,Alfonso Cuar�n,2001
Walt Disney Pictures,USA,Garry Marshall,Comedy,ThePrincessDiaries,111,Meg Cabot,2001
Dimension Films,USA,Robert Rodriguez,Action,SpyKids,88,Robert Rodriguez,2001
Columbia Pictures Corporation,USA,Joel Gallen,Comedy,NotAnotherTeenMovie,89,Mike Bender,2001
Universal Pictures,USA,Stephen Sommers,Action,TheMummyReturns,130,Stephen Sommers,2001
Paramount Pictures,USA,Cameron Crowe,Fantasy,VanillaSky,136,Alejandro Amen�bar,2001
Columbia Pictures Corporation,USA,Brian Helgeland,Action,AKnightsTale,132,Brian Helgeland,2001
Walt Disney Feature Animation,USA,Gary Trousdale,Animation,AtlantisTheLostEmpire,95,Tab Murphy,2001
Dimension Films,USA,Keenen Ivory Wayans,Comedy,ScaryMovie2,83,Shawn Wayans,2001
Alicia Produce,Spain,Julio Medem,Drama,SexandLucia,128,Julio Medem,2001
Twentieth Century Fox Film Corporation,USA,Albert Hughes,Horror,FromHell,122,Alan Moore,2001
Miramax,UK,Sharon Maguire,Comedy,BridgetJonessDiary,97,Helen Fielding,2001
Warner Bros.,USA,Steve Beck,Horror,Thir13enGhosts,91,Robb White,2001
Metro-Goldwyn-Mayer (MGM),France,Michael Cristofer,Drama,OriginalSin,116,Cornell Woolrich,2001
LivePlanet,USA,J.B. Rogers,Comedy,AmericanPie2,108,Adam Herz,2001
Swanford Films,UK,Jean-Jacques Annaud,Drama,EnemyattheGates,131,Jean-Jacques Annaud,2001
Paramount Pictures,Germany,Ben Stiller,Comedy,Zoolander,90,Drake Sather,2001
New Line Cinema,USA,Jessie Nelson,Drama,IAmSam,132,Kristine Johnson,2001
Arte France Cin�ma,Austria,Michael Haneke,Drama,ThePianoTeacher,131,Michael Haneke,2001
Miramax,USA,Peter Chelsom,Comedy,Serendipity,90,Marc Klein,2001
Universal Pictures,USA,Joe Johnston,Action,JurassicParkIII,92,Michael Crichton,2001
Columbia Pictures Corporation,USA,Michael Mann,Biography,Ali,157,Gregory Allen Howard,2001
Lee Daniels Entertainment,USA,Marc Forster,Drama,MonstersBall,111,Milo Addica,2001
Dimension Films,USA,Kevin Smith,Comedy,JayandSilentBobStrikeBack,104,Kevin Smith,2001
United Artists,USA,Terry Zwigoff,Comedy,GhostWorld,111,Daniel Clowes,2001
Paramount Pictures,USA,Jerry Zucker,Adventure,RatRace,112,Andy Breckman,2001
Universal Pictures,Canada,Harry Elfont,Comedy,JosieandthePussycats,98,Deborah Kaplan,2001
IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG,USA,Iain Softley,Drama,KPAX,120,Gene Brewer,2001
Twentieth Century Fox Film Corporation,USA,Bobby Farrelly,Comedy,ShallowHal,114,Sean Moynihan,2001
Paramount Pictures,USA,Frank Oz,Crime,TheScore,124,Daniel E. Taylor,2001
Jersey Films,USA,Jesse Dylan,Comedy,HowHigh,93,Dustin Lee Abraham,2001
New Line Cinema,USA,James Isaac,Action,JasonX,91,Victor Miller,2001
Jonathan Krane Group,USA,Dominic Sena,Action,Swordfish,99,Skip Woods,2001
Morgan Creek Productions,USA,Sean Penn,Crime,ThePledge,124,Friedrich D�rrenmatt,2001
USA Films,USA,Brad Anderson,Horror,Session9,100,Brad Anderson,2001
Fox Searchlight Pictures,USA,Richard Linklater,Animation,WakingLife,99,Richard Linklater,2001
New Line Cinema,USA,Brett Ratner,Action,RushHour2,90,Ross LaManna,2001
David Kirschner Productions,USA,Bill Paxton,Crime,Frailty,100,Brent Hanley,2001
Columbia Pictures Corporation,USA,Dennie Gordon,Adventure,JoeDirt,91,David Spade,2001
StudioCanal,USA,Larry Clark,Biography,Bully,108,Jim Schutze,2001
DreamWorks,USA,Gore Verbinski,Adventure,TheMexican,123,J.H. Wyman,2001
Deseo, El,,Spain,Guillermo del Toro,Drama,TheDevilsBackbone,106,Guillermo del Toro,2001
Regency Enterprises,USA,John Dahl,Mystery,JoyRide,97,Clay Tarver,2001
Paramount Pictures,USA,Lee Tamahori,Drama,AlongCameaSpider,104,James Patterson,2001
Good Machine,USA,Joel Coen,Crime,TheManWhoWasntThere,116,Joel Coen,2001
Twentieth Century Fox Film Corporation,USA,John Moore,Action,BehindEnemyLines,106,Jim Thomas,2001
USA Films,UK,Robert Altman,Comedy,GosfordPark,131,Julian Fellowes,2001
Bandeira Entertainment,USA,Blair Hayes,Adventure,BubbleBoy,84,Cinco Paul,2001
Columbia Pictures Corporation,USA,Ivan Reitman,Comedy,Evolution,101,Don Jakoby,2001
Canal+,France,Christophe Gans,Action,BrotherhoodoftheWolf,142,St�phane Cabel,2001
Universal Pictures,Germany,Tony Scott,Action,Juegodeespas,126,Michael Frost Beckner,2001
Columbia Pictures,USA,John Singleton,Crime,BabyBoy,130,John Singleton,2001
Konrad Pictures,USA,James Mangold,Comedy,KateLeopold,118,Steven Rogers,2001
Davis Entertainment,USA,David Mirkin,Comedy,Heartbreakers,123,Robert Dunn,2001
Screen Gems,USA,John Carpenter,Action,GhostsofMars,98,Larry Sulkis,2001
Regency Enterprises,USA,Gary Fleder,Drama,DontSayaWord,113,Andrew Klavan,2001
Warner Bros.,USA,Bobby Farrelly,Animation,OsmosisJones,95,Marc Hyman,2001
Bungalow Productions,Australia,Simon Wincer,Adventure,CocodriloDundeeenHollywood,92,Paul Hogan,2001
Fuller Films,USA,Henry Bean,Drama,TheBeliever,98,Henry Bean,2001
Warner Bros.,USA,Pat O'Connor,Drama,SweetNovember,119,Herman Raucher,2001
Metro-Goldwyn-Mayer (MGM),USA,Barry Levinson,Comedy,Bandits,123,Harley Peyton,2001
DreamWorks,USA,Rod Lurie,Action,TheLastCastle,131,David Scarpa,2001
Warner Bros.,USA,Jamie Blanks,Horror,Valentine,96,Tom Savage,2001
Columbia Pictures Corporation,Germany,Adam Shankman,Comedy,TheWeddingPlanner,103,Pamela Falk,2001
Aamir Khan Productions,India,Ashutosh Gowariker,Adventure,LagaanOnceUponaTimeinIndia,224,Ashutosh Gowariker,2001
Star Overseas,Hong Kong,Stephen Chow,Action,ShaolinSoccer,113,Stephen Chow,2001
Typhoon,Germany,Oliver Hirschbiegel,Drama,TheExperiment,114,Mario Giordano,2001
New Line Cinema,USA,John Herzfeld,Action,15Minutes,120,John Herzfeld,2001
Castle Rock Entertainment,USA,Scott Hicks,Drama,HeartsinAtlantis,101,Stephen King,2001
Paramount Pictures,USA,Louis C.K.,Comedy,PootieTang,81,Louis C.K.,2001
T�l�ma,France,Patrice Ch�reau,Drama,Intimidad,119,Hanif Kureishi,2001
Castle Rock Entertainment,USA,Frank Darabont,Drama,TheMajestic,152,Michael Sloane,2001
Winkler Films,USA,Irwin Winkler,Drama,LifeasaHouse,125,Mark Andrus,2001
Twentieth Century Fox Film Corporation,France,Chris Nahon,Action,KissoftheDragon,98,Jet Li,2001
Fox 2000 Pictures,USA,Tony Goldwyn,Comedy,SomeoneLikeYou,97,Laura Zigman,2001
Revolution Studios,USA,Joe Roth,Comedy,AmericasSweethearts,102,Billy Crystal,2001
Columbia Pictures,USA,Penny Marshall,Biography,RidinginCarswithBoys,132,Beverly D'Onofrio,2001
Paramount Pictures,USA,John A. Davis,Animation,JimmyNeutronBoyGenius,82,John A. Davis,2001
Morgan Creek Productions,Canada,David Mamet,Action,Heist,109,David Mamet,2001
Touchstone Pictures,USA,Brendan Malloy,Comedy,OutCold,89,Jon Zack,2001
Warner Bros.,USA,Lawrence Guterman,Action,CatsDogs,87,John Requa,2001
Columbia Pictures Corporation,USA,Daniel Sackheim,Crime,TheGlassHouse,106,Wesley Strick,2001
Revolution Studios,USA,James Wong,Action,TheOne,87,Glen Morgan,2001
Chickie the Cop,USA,Tim Blake Nelson,Drama,O,95,William Shakespeare,2001
Cit�-Am�rique,Canada,L�a Pool,Drama,LostandDelirious,103,Susan Swan,2001
Miramax,USA,Tommy O'Haver,Comedy,GetOverIt,87,R. Lee Fleming Jr.,2001
Chris Lee Productions,USA,Hironobu Sakaguchi,Animation,FinalFantasyTheSpiritsWithin,106,Hironobu Sakaguchi,2001
Columbia Pictures Corporation,USA,Dennis Dugan,Action,SavingSilverman,90,Hank Nelken,2001
Payam Films,Iran,Babak Payami,Comedy,SecretBallot,100,Mohsen Makhmalbaf,2001
Good Machine,USA,Todd Field,Crime,IntheBedroom,130,Robert Festinger,2001
Alliance Atlantis Communications,UK,Ronny Yu,Action,Formula51,93,Stel Pavlou,2001
Manhattan Pictures International,UK,Michael Apted,Drama,Enigma,119,Robert Harris,2001
