Company,Country,Director,Genre,Title,Runtime,Writer,Year
Touchstone Pictures,USA,Paul Mazursky,Comedy,DownandOutinBeverlyHills,103,Ren� Fauchois,1986
Capital Equipment Leasing,UK,Trevor Nunn,Biography,LadyJane,136,Chris Bryant,1986
Columbia Pictures Corporation,USA,Thomas Michael Donnelly,Crime,Quicksilver,105,Thomas Michael Donnelly,1986
Sunbow Productions,USA,Mike Joens,Animation,MyLittlePonyTheMovie,86,George Arthur Bloom,1986
Virgin Vision,UK,Ken Russell,Horror,Gothic,87,Lord Byron,1986
Producers Sales Organization (PSO),USA,Hal Ashby,Action,8MillionWaystoDie,115,Lawrence Block,1986
TriStar Pictures,USA,Richard Pearce,Crime,NoMercy,106,James Carabatsos,1986
Orion Pictures,USA,Gene Wilder,Comedy,HauntedHoneymoon,82,Gene Wilder,1986
Empire Pictures,USA,Ted Nicolaou,Comedy,TerrorVision,83,Ted Nicolaou,1986
Golan-Globus Productions,USA,Gary Nelson,Action,AllanQuatermainandtheLostCityofGold,99,H. Rider Haggard,1986
HandMade Films,UK,Neil Jordan,Crime,MonaLisa,104,Neil Jordan,1986
Delphi Films,USA,Garry Marshall,Comedy,NothinginCommon,118,Rick Podell,1986
Cannon Group,USA,J. Lee Thompson,Action,Firewalker,104,Robert Gosnell,1986
Cannon Screen Entertainment,UK,Nicolas Roeg,Adventure,Castaway,117,Lucy Irvine,1986
Amaretto Films,USA,Richard Wenk,Comedy,Vamp,93,Donald P. Borchers,1986
British Film Institute (BFI),UK,Derek Jarman,Biography,Caravaggio,93,Derek Jarman,1986
Les Films Plain Chant,France,Leos Carax,Crime,MauvaisSang,116,Leos Carax,1986
Paramount Pictures,USA,Duncan Gibbins,Drama,FirewithFire,103,Bill Phillips,1986
Warner Bros.,USA,Harold Ramis,Comedy,ClubParadise,96,Harry Shearer,1986
Universal Pictures,USA,Ivan Reitman,Comedy,LegalEagles,116,Ivan Reitman,1986
Thorn EMI Screen Entertainment,UK,Christopher Morahan,Comedy,Clockwise,96,Michael Frayn,1986
Atlantic Entertainment Group,USA,Robert M. Young,Drama,Extremities,89,William Mastrosimone,1986
Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,WiseGuys,100,George Gallo,1986
Atlantic Entertainment Group,USA,Peter Medak,Drama,TheMensClub,101,Leonard Michaels,1986
DD Productions,Switzerland,Claude Berri,Drama,JeandeFlorette,120,Claude Berri,1986
Balcor Film Investors,USA,Tom DeSimone,Drama,ReformSchoolGirls,94,Jack Cummins,1986
DD Productions,Switzerland,Claude Berri,Drama,ManonoftheSpring,113,Claude Berri,1986
HandMade Films,UK,Jim Goddard,Adventure,ShanghaiSurprise,97,John Kohn,1986
Lorimar Productions,USA,Sidney Lumet,Drama,Power,111,David Himmelstein,1986
Not specified,USA,Jerry Kramer,Comedy,ModernGirls,84,Laurie Craig,1986
De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,CrimesoftheHeart,105,Beth Henley,1986
Cinema VII,USA,John McTiernan,Horror,Nomads,91,John McTiernan,1986
Empire Pictures,USA,Peter Manoogian,Action,Eliminators,96,Paul De Meo,1986
TMS Pictures,Canada,George Mendeluk,Comedy,MeatballsIIISummerJob,96,Janis Allen,1986
Golan-Globus Productions,USA,J. Lee Thompson,Action,MurphysLaw,100,Gail Morgan Hickman,1986
Edward R. Pressman Film,USA,David Byrne,Musical,TrueStories,90,Stephen Tobolowsky,1986
Warner Bros.,USA,Prince,Comedy,UndertheCherryMoon,98,Becky Johnston,1986
Delphi V Productions,Israel,Mosh� Mizrahi,Drama,EveryTimeWeSayGoodbye,95,Mosh� Mizrahi,1986
Goldcrest Films International,UK,Julien Temple,Drama,AbsoluteBeginners,108,Colin MacInnes,1986
Little Bear,USA,Bertrand Tavernier,Drama,RoundMidnight,133,David Rayfiel,1986
Cannon Group, The,,USA,Sam Firstenberg,Action,AvengingForce,104,James Booth,1986
Simcom Limited,Canada,Paul Lynch,Action,Bullies,96,John Sheppard,1986
Compact Yellowbill,UK,John Hough,Adventure,BigglesAdventuresinTime,88,W.E. Johns,1986
Lorimar Productions,USA,Albert Magnoli,Drama,AmericanAnthem,102,Evan Archerd,1986
Columbia Pictures Corporation,USA,Richard Tuggle,Action,OutofBounds,93,Tony Kayden,1986
Crown International Pictures,USA,David Beaird,Comedy,MyChauffeur,97,David Beaird,1986
Rastar Pictures,USA,Gene Saks,Comedy,BrightonBeachMemoirs,108,Neil Simon,1986
Minist�re de la Culture et de la Communication,France,�ric Rohmer,Drama,Summer,98,Marie Rivi�re,1986
Cannon Group,USA,Paul Nicholas,Drama,TheNakedCage,97,Paul Nicholas,1986
Cannon Screen Entertainment,UK,Richard Franklin,Horror,Link,100,Lee David Zlotoff,1986
Edward R. Pressman Film,UK,Bob Swaim,Thriller,HalfMoonStreet,90,Edward Behr,1986
Aaron Spelling Productions,USA,Tom Moore,Drama,nightMother,,96,Marsha Norman,1986
Blake Edwards,USA,Blake Edwards,Action,AFineMess,90,Blake Edwards,1986
Chroma III Productions,USA,Mark Griffiths,Comedy,Hardbodies2,88,Mark Griffiths,1986
Fons Rademakers Produktie,Netherlands,Fons Rademakers,Drama,TheAssault,155,Gerard Soeteman,1986
Heron Communications,USA,Janet Greek,Drama,TheLadiesClub,85,Casey Bishop,1986
Delphi V Productions,USA,Stuart Rosenberg,Action,LetsGetHarry,102,Mark Feldberg,1986
De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,TaiPan,127,John Briley,1986
Scary Stuff,USA,Jeffrey Delman,Comedy,DeadtimeStories,93,Jeffrey Delman,1986
Escalante Productions,USA,Dick Richards,Action,Heat,101,William Goldman,1986
Kings Road Entertainment,USA,Robert Mandel,Comedy,TouchandGo,101,Alan Ormsby,1986
Canadian Broadcasting Corporation (CBC),Canada,Charles Jarrott,Biography,TheBoyinBlue,100,Douglas Bowie,1986
Universal Pictures,USA,Alan Alda,Comedy,SweetLiberty,106,Alan Alda,1986
Marquis,USA,William Fruet,Comedy,KillerParty,91,Barney Cohen,1986
Rondo Productions,USA,Bill Sherwood,Drama,PartingGlances,90,Bill Sherwood,1986
Nelvana,Canada,Dale Schott,Animation,CareBearsMovieIIANewGeneration,76,Peter Sauder,1986
Columbia Pictures Corporation,USA,Richard Pryor,Biography,JoJoDancerYourLifeIsCalling,,97,Rocco Urbisci,1986
Balcor Film Investors,USA,Andrew Lane,Action,JakeSpeed,100,Wayne Crawford,1986
Cinema Group Ventures,USA,Renny Harlin,Action,BornAmerican,97,Renny Harlin,1986
Paramount Pictures,USA,Michelle Manning,Action,BlueCity,83,Ross Macdonald,1986
Cascade Films,Australia,Nadia Tass,Comedy,Malcolm,90,David Parker,1986
Miramax,USA,Bob Weinstein,Comedy,PlayingforKeeps,102,Bob Weinstein,1986
Golan-Globus Productions,USA,Andrey Konchalovskiy,Drama,DuetforOne,107,Tom Kempinski,1986
Island Pictures,USA,Evelyn Purcell,Comedy,NobodysFool,107,Beth Henley,1986
Paramount Pictures,USA,John Byrum,Comedy,TheWhoopeeBoys,88,Steve Zacharias,1986
Blake Edwards,USA,Blake Edwards,Comedy,ThatsLife,102,Milton Wexler,1986
Hemdale,USA,Hal Needham,Comedy,BodySlam,89,Shel Lytton,1986
Rank Organisation, The,,UK,David Drury,Thriller,DefenseoftheRealm,96,Martin Stellman,1986
